Source,Target,Type,Weight
Napoleon,Myriel,Undirected,1
MlleBaptistine,Myriel,Undirected,8
MmeMagloire,Myriel,Undirected,10
MmeMagloire,MlleBaptistine,Undirected,6
CountessDeLo,Myriel,Undirected,1
Geborand,Myriel,Undirected,1
Champtercier,Myriel,Undirected,1
Cravatte,Myriel,Undirected,1
Count,Myriel,Undirected,2
OldMan,Myriel,Undirected,1
Valjean,Myriel,Undirected,5
Valjean,MlleBaptistine,Undirected,3
Valjean,MmeMagloire,Undirected,3
Valjean,Labarre,Undirected,1
Marguerite,Valjean,Undirected,1
MmeDeR,Valjean,Undirected,1
Isabeau,Valjean,Undirected,1
Gervais,Valjean,Undirected,1
Listolier,Tholomyes,Undirected,4
Fameuil,Tholomyes,Undirected,4
Fameuil,Listolier,Undirected,4
Blacheville,Tholomyes,Undirected,4
Blacheville,Listolier,Undirected,4
Blacheville,Fameuil,Undirected,4
Favourite,Tholomyes,Undirected,3
Favourite,Listolier,Undirected,3
Favourite,Fameuil,Undirected,3
Favourite,Blacheville,Undirected,4
Dahlia,Tholomyes,Undirected,3
Dahlia,Listolier,Undirected,3
Dahlia,Fameuil,Undirected,3
Dahlia,Blacheville,Undirected,3
Dahlia,Favourite,Undirected,5
Zephine,Tholomyes,Undirected,3
Zephine,Listolier,Undirected,3
Zephine,Fameuil,Undirected,3
Zephine,Blacheville,Undirected,3
Zephine,Favourite,Undirected,4
Zephine,Dahlia,Undirected,4
Fantine,Valjean,Undirected,9
Fantine,Marguerite,Undirected,2
Fantine,Tholomyes,Undirected,3
Fantine,Listolier,Undirected,3
Fantine,Fameuil,Undirected,3
Fantine,Blacheville,Undirected,3
Fantine,Favourite,Undirected,4
Fantine,Dahlia,Undirected,4
Fantine,Zephine,Undirected,4
MmeThenardier,Valjean,Undirected,7
MmeThenardier,Fantine,Undirected,2
Thenardier,Valjean,Undirected,12
Thenardier,Fantine,Undirected,1
Thenardier,MmeThenardier,Undirected,13
Cosette,Valjean,Undirected,31
Cosette,Tholomyes,Undirected,1
Cosette,MmeThenardier,Undirected,4
Cosette,Thenardier,Undirected,1
Javert,Valjean,Undirected,17
Javert,Fantine,Undirected,5
Javert,MmeThenardier,Undirected,1
Javert,Thenardier,Undirected,5
Javert,Cosette,Undirected,1
Fauchelevent,Valjean,Undirected,8
Fauchelevent,Javert,Undirected,1
Bamatabois,Valjean,Undirected,2
Bamatabois,Fantine,Undirected,1
Bamatabois,Javert,Undirected,1
Perpetue,Fantine,Undirected,1
Simplice,Valjean,Undirected,3
Simplice,Fantine,Undirected,2
Simplice,Javert,Undirected,1
Simplice,Perpetue,Undirected,2
Scaufflaire,Valjean,Undirected,1
Woman1,Valjean,Undirected,2
Woman1,Javert,Undirected,1
Judge,Valjean,Undirected,3
Judge,Bamatabois,Undirected,2
Champmathieu,Valjean,Undirected,3
Champmathieu,Bamatabois,Undirected,2
Champmathieu,Judge,Undirected,3
Brevet,Valjean,Undirected,2
Brevet,Bamatabois,Undirected,1
Brevet,Judge,Undirected,2
Brevet,Champmathieu,Undirected,2
Chenildieu,Valjean,Undirected,2
Chenildieu,Bamatabois,Undirected,1
Chenildieu,Judge,Undirected,2
Chenildieu,Champmathieu,Undirected,2
Chenildieu,Brevet,Undirected,2
Cochepaille,Valjean,Undirected,2
Cochepaille,Bamatabois,Undirected,1
Cochepaille,Judge,Undirected,2
Cochepaille,Champmathieu,Undirected,2
Cochepaille,Brevet,Undirected,2
Cochepaille,Chenildieu,Undirected,2
Pontmercy,Thenardier,Undirected,1
Boulatruelle,Thenardier,Undirected,1
Eponine,MmeThenardier,Undirected,2
Eponine,Thenardier,Undirected,3
Anzelma,MmeThenardier,Undirected,1
Anzelma,Thenardier,Undirected,2
Anzelma,Eponine,Undirected,2
Woman2,Valjean,Undirected,3
Woman2,Cosette,Undirected,1
Woman2,Javert,Undirected,1
MotherInnocent,Valjean,Undirected,1
MotherInnocent,Fauchelevent,Undirected,3
Gribier,Fauchelevent,Undirected,2
MmeBurgon,Jondrette,Undirected,1
Gavroche,Valjean,Undirected,1
Gavroche,Thenardier,Undirected,1
Gavroche,Javert,Undirected,1
Gavroche,MmeBurgon,Undirected,2
Gillenormand,Valjean,Undirected,2
Gillenormand,Cosette,Undirected,3
Magnon,MmeThenardier,Undirected,1
Magnon,Gillenormand,Undirected,1
MlleGillenormand,Valjean,Undirected,2
MlleGillenormand,Cosette,Undirected,2
