Target,Source,Weight,Type
T. Abe,H. Taniguchi,1,Undirected
J. Takanami,H. Taniguchi,1,Undirected
K. Inoue,H. Taniguchi,1,Undirected
T. Abe,J. Takanami,1,Undirected
T. Abe,K. Inoue,1,Undirected
J. Takanami,K. Inoue,1,Undirected
J. L. Smith,D. J. Abel,1,Undirected
Ferran Hurtado,O. Serra,2,Undirected
Jesus Garcia,O. Serra,2,Undirected
G. Hernandez,O. Serra,2,Undirected
Manuel Abellanas,O. Serra,2,Undirected
Ferran Hurtado,Jesus Garcia,2,Undirected
Ferran Hurtado,G. Hernandez,2,Undirected
Ferran Hurtado,Manuel Abellanas,10,Undirected
Jesus Garcia,G. Hernandez,2,Undirected
Jesus Garcia,Manuel Abellanas,2,Undirected
Manuel Abellanas,G. Hernandez,3,Undirected
Ferran Hurtado,Jorge Urrutia,4,Undirected
Jesus Garcia,Jorge Urrutia,1,Undirected
G. Hernandez,Jorge Urrutia,2,Undirected
Manuel Abellanas,Jorge Urrutia,5,Undirected
O. Serra,Jorge Urrutia,1,Undirected
Manuel Abellanas,Jesus Garcia-Lopez,1,Undirected
Ferran Hurtado,Jesus Garcia-Lopez,2,Undirected
Ferran Hurtado,Pedro A. Ramos,7,Undirected
Pedro A. Ramos,Manuel Abellanas,4,Undirected
Pedro A. Ramos,Francisco Gomez,3,Undirected
Ferran Hurtado,Francisco Gomez,3,Undirected
Manuel Abellanas,Francisco Gomez,2,Undirected
Manuel Abellanas,G. Hernandes,3,Undirected
Rolf Klein,G. Hernandes,3,Undirected
V. Neumann-Lara,G. Hernandes,3,Undirected
Jorge Urrutia,G. Hernandes,3,Undirected
Manuel Abellanas,Rolf Klein,7,Undirected
Manuel Abellanas,V. Neumann-Lara,4,Undirected
Rolf Klein,V. Neumann-Lara,4,Undirected
Rolf Klein,Jorge Urrutia,4,Undirected
Jorge Urrutia,V. Neumann-Lara,4,Undirected
G. Hernandez,Rolf Klein,1,Undirected
G. Hernandez,V. Neumann-Lara,1,Undirected
Elmar Langetepe,Lihong Ma,3,Undirected
Ferran Hurtado,Lihong Ma,3,Undirected
Manuel Abellanas,Lihong Ma,3,Undirected
Vera Sacristan,Lihong Ma,3,Undirected
Rolf Klein,Lihong Ma,18,Undirected
Belen Palop,Lihong Ma,3,Undirected
Christian Icking,Lihong Ma,18,Undirected
Elmar Langetepe,Ferran Hurtado,3,Undirected
Elmar Langetepe,Manuel Abellanas,3,Undirected
Elmar Langetepe,Vera Sacristan,3,Undirected
Elmar Langetepe,Rolf Klein,16,Undirected
Elmar Langetepe,Belen Palop,3,Undirected
Elmar Langetepe,Christian Icking,16,Undirected
Ferran Hurtado,Vera Sacristan,6,Undirected
Ferran Hurtado,Rolf Klein,3,Undirected
Ferran Hurtado,Belen Palop,3,Undirected
Ferran Hurtado,Christian Icking,3,Undirected
Manuel Abellanas,Vera Sacristan,3,Undirected
Manuel Abellanas,Belen Palop,3,Undirected
Manuel Abellanas,Christian Icking,3,Undirected
Vera Sacristan,Rolf Klein,3,Undirected
Vera Sacristan,Belen Palop,3,Undirected
Vera Sacristan,Christian Icking,3,Undirected
Rolf Klein,Belen Palop,3,Undirected
Rolf Klein,Christian Icking,48,Undirected
Belen Palop,Christian Icking,3,Undirected
Manuel Abellanas,Eugenio Roanes-Lozano,1,Undirected
James Abello,O. Egecioglu,3,Undirected
K. Kumar,O. Egecioglu,1,Undirected
K. Kumar,James Abello,2,Undirected
Vladimir Estivill-Castro,Thomas C. Shermer,2,Undirected
Thomas C. Shermer,James Abello,2,Undirected
Thomas C. Shermer,Jorge Urrutia,4,Undirected
Vladimir Estivill-Castro,James Abello,2,Undirected
Vladimir Estivill-Castro,Jorge Urrutia,7,Undirected
James Abello,Jorge Urrutia,2,Undirected
H. Lin,James Abello,1,Undirected
S. Pisupati,H. Lin,1,Undirected
S. Pisupati,James Abello,1,Undirected
H. Abelson,A. A. diSessa,1,Undirected
Chandrajit L. Bajaj,S. S. Abhyankar,4,Undirected
C. Bajal,S. S. Abhyankar,1,Undirected
S. S. Abhyankar,S. Chandrasekar,5,Undirected
S. S. Abhyankar,V. Chandru,4,Undirected
V. Chandru,S. Chandrasekar,4,Undirected
L. A. Shirman,S. S. Abi-Ezzi,1,Undirected
E. E. Abola,F. C. Bernstein,1,Undirected
T. F. Koetzle,E. E. Abola,1,Undirected
S. H. Bryant,E. E. Abola,1,Undirected
J. Weng,E. E. Abola,1,Undirected
T. F. Koetzle,F. C. Bernstein,2,Undirected
S. H. Bryant,F. C. Bernstein,1,Undirected
J. Weng,F. C. Bernstein,1,Undirected
S. H. Bryant,T. F. Koetzle,1,Undirected
J. Weng,T. F. Koetzle,1,Undirected
S. H. Bryant,J. Weng,1,Undirected
David G. Kirkpatrick,Karl Abrahamson,1,Undirected
David G. Kirkpatrick,N. Dadoun,7,Undirected
David G. Kirkpatrick,T. Przytycka,1,Undirected
N. Dadoun,Karl Abrahamson,1,Undirected
T. Przytycka,Karl Abrahamson,1,Undirected
N. Dadoun,T. Przytycka,1,Undirected
S. Abramowski,B. Lang,1,Undirected
Heinrich Muller,B. Lang,1,Undirected
S. Abramowski,Heinrich Muller,5,Undirected
L. Bardis,J. Zhou,1,Undirected
S. L. Abrams,J. Zhou,1,Undirected
Franz-Erich Wolter,J. Zhou,1,Undirected
S. T. Tuohy,J. Zhou,1,Undirected
N. M. Patrikalakis,J. Zhou,4,Undirected
C. Chryssostomidis,J. Zhou,1,Undirected
L. Bardis,S. L. Abrams,2,Undirected
L. Bardis,Franz-Erich Wolter,2,Undirected
L. Bardis,S. T. Tuohy,2,Undirected
L. Bardis,N. M. Patrikalakis,10,Undirected
L. Bardis,C. Chryssostomidis,2,Undirected
Franz-Erich Wolter,S. L. Abrams,2,Undirected
S. L. Abrams,S. T. Tuohy,1,Undirected
S. L. Abrams,N. M. Patrikalakis,3,Undirected
S. L. Abrams,C. Chryssostomidis,2,Undirected
Franz-Erich Wolter,S. T. Tuohy,3,Undirected
Franz-Erich Wolter,N. M. Patrikalakis,4,Undirected
Franz-Erich Wolter,C. Chryssostomidis,2,Undirected
N. M. Patrikalakis,S. T. Tuohy,12,Undirected
S. T. Tuohy,C. Chryssostomidis,4,Undirected
N. M. Patrikalakis,C. Chryssostomidis,7,Undirected
D. Surla,D. M. Acketa,1,Undirected
V. Hauk,D. M. Acketa,1,Undirected
D. Surla,V. Hauk,1,Undirected
J. Zunic,D. M. Acketa,2,Undirected
Dominique Schmitt,Jean-Claude Spehner,3,Undirected
Jean-Claude Spehner,Pierre Kauffmann,2,Undirected
Bruno Adam,Jean-Claude Spehner,1,Undirected
Dominique Schmitt,Pierre Kauffmann,1,Undirected
Dominique Schmitt,Bruno Adam,1,Undirected
Bruno Adam,Pierre Kauffmann,1,Undirected
M. Klazar,R. Adamec,1,Undirected
Pavel Valtr,R. Adamec,1,Undirected
M. Klazar,Pavel Valtr,2,Undirected
A. Albano,M. Adamowich,1,Undirected
W. Sherman,C. Adams,1,Undirected
L. M. Billow,J. A. Adams,1,Undirected
Joachim Giesen,Matthias John,1,Undirected
Joachim Giesen,Udo Adamy,1,Undirected
Udo Adamy,Matthias John,1,Undirected
Udo Adamy,Raimund Seidel,1,Undirected
Jack Scott Snoeyink,Mark H. Overmars,4,Undirected
Jack Scott Snoeyink,John Adegeest,1,Undirected
Mark H. Overmars,John Adegeest,1,Undirected
P. A. Beling,I. Adler,1,Undirected
I. Adler,G. B. Dantzig,2,Undirected
Katta G. Murty,G. B. Dantzig,1,Undirected
Katta G. Murty,I. Adler,1,Undirected
R. M. Karp,I. Adler,1,Undirected
R. Shamir,I. Adler,3,Undirected
R. M. Karp,R. Shamir,1,Undirected
N. Megiddo,I. Adler,3,Undirected
M. J. Todd,I. Adler,1,Undirected
N. Megiddo,M. J. Todd,1,Undirected
I. Adler,R. Saigal,1,Undirected
J. W. Byers,M. Adler,1,Undirected
R. M. Karp,M. Adler,1,Undirected
R. M. Karp,J. W. Byers,1,Undirected
F. Affentranger,Ralf Schneider,1,Undirected
F. Affentranger,J. A. Wieacker,1,Undirected
Otfried Schwarzkopf,Pankaj K. Agarwal,11,Undirected
Otfried Schwarzkopf,Emo Welzl,5,Undirected
Pankaj K. Agarwal,Emo Welzl,4,Undirected
Subash Suri,Baruch Schieber,2,Undirected
S. Rao Kosaraju,Baruch Schieber,2,Undirected
Boris Aronov,Baruch Schieber,2,Undirected
Alok Aggarwal,Baruch Schieber,7,Undirected
Pankaj K. Agarwal,Baruch Schieber,2,Undirected
Subash Suri,S. Rao Kosaraju,2,Undirected
Subash Suri,Boris Aronov,7,Undirected
Subash Suri,Alok Aggarwal,10,Undirected
Pankaj K. Agarwal,Subash Suri,14,Undirected
S. Rao Kosaraju,Boris Aronov,2,Undirected
S. Rao Kosaraju,Alok Aggarwal,2,Undirected
Pankaj K. Agarwal,S. Rao Kosaraju,3,Undirected
Alok Aggarwal,Boris Aronov,2,Undirected
Pankaj K. Agarwal,Boris Aronov,27,Undirected
Pankaj K. Agarwal,Alok Aggarwal,2,Undirected
Pankaj K. Agarwal,N. Alon,2,Undirected
Subash Suri,N. Alon,3,Undirected
Boris Aronov,N. Alon,2,Undirected
Micha Sharir,Boris Aronov,44,Undirected
Nina Amenta,Boris Aronov,1,Undirected
Micha Sharir,Nina Amenta,4,Undirected
Micha Sharir,Pankaj K. Agarwal,77,Undirected
Pankaj K. Agarwal,Nina Amenta,5,Undirected
Lars Arge,Jeffrey Scott Vitter,6,Undirected
Pankaj K. Agarwal,Lars Arge,4,Undirected
Lars Arge,Gerth Stolting Brodal,1,Undirected
Pankaj K. Agarwal,Jeffrey Scott Vitter,10,Undirected
Gerth Stolting Brodal,Jeffrey Scott Vitter,1,Undirected
Pankaj K. Agarwal,Gerth Stolting Brodal,1,Undirected
Jeff Erickson,Pankaj K. Agarwal,6,Undirected
Jeff Erickson,Lars Arge,2,Undirected
Jeff Erickson,Jeffrey Scott Vitter,1,Undirected
Paolo Giulio Franciosa,Jeffrey Scott Vitter,1,Undirected
Jeff Erickson,Paolo Giulio Franciosa,1,Undirected
Lars Arge,Paolo Giulio Franciosa,1,Undirected
Pankaj K. Agarwal,Paolo Giulio Franciosa,1,Undirected
T. M. Murali,Lars Arge,1,Undirected
Kasturi R. Varadarajan,Lars Arge,1,Undirected
T. M. Murali,Jeffrey Scott Vitter,8,Undirected
T. M. Murali,Kasturi R. Varadarajan,1,Undirected
T. M. Murali,Pankaj K. Agarwal,6,Undirected
Kasturi R. Varadarajan,Jeffrey Scott Vitter,1,Undirected
Kasturi R. Varadarajan,Pankaj K. Agarwal,9,Undirected
Micha Sharir,Timothy M. Y. Chan,1,Undirected
Timothy M. Y. Chan,Boris Aronov,2,Undirected
Pankaj K. Agarwal,Timothy M. Y. Chan,1,Undirected
Sariel Har-Peled,Boris Aronov,3,Undirected
Micha Sharir,Sariel Har-Peled,5,Undirected
Sariel Har-Peled,Pankaj K. Agarwal,5,Undirected
Boris Aronov,C. Schevon,2,Undirected
Pankaj K. Agarwal,C. Schevon,2,Undirected
Joseph O'Rourke,C. Schevon,8,Undirected
Boris Aronov,Joseph O'Rourke,6,Undirected
Pankaj K. Agarwal,Joseph O'Rourke,4,Undirected
Catherine A. Schevon,Joseph O'Rourke,1,Undirected
Catherine A. Schevon,Pankaj K. Agarwal,1,Undirected
Catherine A. Schevon,Boris Aronov,1,Undirected
Richard Pollack,Boris Aronov,5,Undirected
Janos Pach,Boris Aronov,6,Undirected
Micha Sharir,Richard Pollack,19,Undirected
Micha Sharir,Janos Pach,25,Undirected
Richard Pollack,Janos Pach,14,Undirected
Richard Pollack,Pankaj K. Agarwal,3,Undirected
Pankaj K. Agarwal,Janos Pach,4,Undirected
Micha Sharir,Subash Suri,4,Undirected
John E. Hershberger,Li Zhang,2,Undirected
Leonidas J. Guibas,Li Zhang,4,Undirected
J. Basch,Li Zhang,4,Undirected
Pankaj K. Agarwal,Li Zhang,1,Undirected
Leonidas J. Guibas,John E. Hershberger,30,Undirected
John E. Hershberger,J. Basch,2,Undirected
John E. Hershberger,Pankaj K. Agarwal,3,Undirected
Leonidas J. Guibas,J. Basch,7,Undirected
Leonidas J. Guibas,Pankaj K. Agarwal,9,Undirected
Pankaj K. Agarwal,J. Basch,1,Undirected
Micha Sharir,Mark T. de Berg,3,Undirected
Mark T. de Berg,Dan Halperin,11,Undirected
Pankaj K. Agarwal,Mark T. de Berg,3,Undirected
Micha Sharir,Dan Halperin,23,Undirected
